inst,rule,tp,sl,period,days,win,tp20,ge18,exp_pips
EURUSD,buy,10.0,10.0,A 2021-23,776,0.44696335415727445,8.936855670103093,0.001288659793814433,-1.0607329168545114
EURUSD,buy,10.0,10.0,B 2024-26,679,0.4464863275507204,8.929307805596466,0.011782032400589101,-1.0702734489855925
EURUSD,buy,10.0,20.0,A 2021-23,776,0.6283892574225542,12.565721649484535,0.11211340206185567,-1.148322277323372
EURUSD,buy,10.0,20.0,B 2024-26,679,0.626065862981476,12.512518409425626,0.13549337260677466,-1.2180241105557188
EURUSD,buy,10.0,30.0,A 2021-23,776,0.7172666967218394,14.342783505154639,0.2809278350515464,-1.309332131126425
EURUSD,buy,10.0,30.0,B 2024-26,679,0.7211114378124082,14.41678939617084,0.3078055964653903,-1.1555424875036755
EURUSD,buy,10.0,50.0,A 2021-23,776,0.8004765891672571,16.007731958762886,0.48195876288659795,-1.9714046499645779
EURUSD,buy,10.0,50.0,B 2024-26,679,0.81417230226404,16.278350515463917,0.5272459499263623,-1.1496618641576006
EURUSD,buy,10.0,75.0,A 2021-23,776,0.853481033039222,17.068298969072163,0.6198453608247423,-2.45411219166613
EURUSD,buy,10.0,75.0,B 2024-26,679,0.8712878565127904,17.422680412371133,0.6701030927835051,-0.9405321964128197
EURUSD,buy,10.0,100.0,A 2021-23,776,0.8838796934372384,17.676546391752577,0.7048969072164949,-2.7732337219037806
EURUSD,buy,10.0,100.0,B 2024-26,679,0.8991473096148191,17.980854197349043,0.7511045655375552,-1.0937959423698913
EURUSD,buy,10.0,150.0,A 2021-23,776,0.917562954852837,18.350515463917525,0.7899484536082474,-3.189927223546081
EURUSD,buy,10.0,150.0,B 2024-26,679,0.932519847103793,18.649484536082475,0.8321060382916053,-0.7968244633931196
EURUSD,buy,10.0,200.0,A 2021-23,776,0.9338571520577059,18.676546391752577,0.8298969072164949,-3.647272493076575
EURUSD,buy,10.0,200.0,B 2024-26,679,0.949059100264628,18.980854197349043,0.8689248895434463,-0.5737650690973242
EURUSD,buy,10.0,300.0,A 2021-23,776,0.9509241965608295,19.0180412371134,0.8762886597938144,-3.585045404778771
EURUSD,buy,10.0,300.0,B 2024-26,679,0.9592766833284329,19.185567010309278,0.8969072164948454,-1.2587694795648332
EURUSD,buy,10.0,450.0,A 2021-23,776,0.9562697237070908,19.125,0.8878865979381443,-3.6946995556127993
EURUSD,buy,10.0,450.0,B 2024-26,679,0.9618494560423405,19.237113402061855,0.9027982326951399,-1.0121581887680056
EURUSD,buy,10.0,600.0,A 2021-23,776,0.9567849552392607,19.135309278350515,0.8891752577319587,-3.2635666902814418
EURUSD,buy,10.0,600.0,B 2024-26,679,0.9618494560423405,19.237113402061855,0.9027982326951399,-0.7304910320493941
EURUSD,buy,10.0,900.0,A 2021-23,776,0.9567849552392607,19.135309278350515,0.8891752577319587,-3.1249887293102305
EURUSD,buy,10.0,900.0,B 2024-26,679,0.9618494560423405,19.237113402061855,0.9027982326951399,-0.6969126727433075
EURUSD,buy,10.0,1200.0,A 2021-23,776,0.9567849552392607,19.135309278350515,0.8891752577319587,-3.1249887293102305
EURUSD,buy,10.0,1200.0,B 2024-26,679,0.9618494560423405,19.237113402061855,0.9027982326951399,-0.6969126727433075
EURUSD,buy,20.0,20.0,A 2021-23,776,0.47150125587685965,9.426546391752577,0.07474226804123711,-1.1399497649256134
EURUSD,buy,20.0,20.0,B 2024-26,679,0.4638341664216407,9.265095729013256,0.09572901325478646,-1.4466333431343723
